precision,names,state,posterior,accuracy,rmsq
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.002008977237494325,0,0.9979910227625057
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 0, 0, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 1, 1, 1, 1, 1, 1)",0.9989809599102998,1,0.0010190400897002183
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 1, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 1, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 1, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 1, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 0, 0, 0, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 0, 0, 0, 0, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 1, 0, 0, 0, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
0,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(0, 0, 0, 0, 0, 0, 0, 0, 0)",0.002008977237494325,1,0.002008977237494325
precision,names,state,posterior,accuracy,rmsq
0.001,"['jane_and_mark_fight', 'jane_has_knife', 'jane_stabs_mark_with_knife', 'mark_dies', 'jane_threatens_mark_with_knife', 'mark_hits_jane', 'jane_drops_knife', 'mark_falls_on_knife', 'mark_dies_by_accident']","(1, 1, 1, 1, 0, 0, 0, 0, 0)",0.010373443138107338,0,0.9896265568618927
