raining,successful_stolen,target_object,lost_object,curtains,E_disturbed_house,E_s_spotted_with_goodie,E_object_is_gone,E_broken_lock,know_object,motive,compromise_house,E_s_spotted_by_house,nameoutput,output,network_output,matching,RMS,prediction
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,1,1,0,0,0,1,1,1,1,1,1,1,successful_stolen,1,0.64,1,0.36,1.0
0,0,0,1,1,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,0,0,1,1,1,1,1,1,1,1,successful_stolen,1,0.64,1,0.36,1.0
1,0,0,1,0,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,successful_stolen,0,NA,NA,1.0,NA
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,0,successful_stolen,0,NA,NA,1.0,NA
1,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,1,1,0,0,0,1,1,1,1,1,1,1,successful_stolen,1,0.64,1,0.36,1.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,1,1,0,0,1,1,1,1,1,1,1,1,successful_stolen,1,0.64,1,0.36,1.0
0,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,1,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,1,1,0,0,1,1,1,1,1,1,1,1,successful_stolen,1,0.64,1,0.36,1.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,1,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,1,0,0,0,1,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,0,0,0,1,1,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,1,0,0,1,0,0,1,1,1,1,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,0,0,0,0,0,0,0,1,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
1,0,1,0,0,0,1,1,1,1,1,1,1,successful_stolen,0,0.64,0,0.64,1.0
1,0,0,0,1,0,0,0,0,0,0,0,1,successful_stolen,0,0.0,1,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,successful_stolen,0,0.0,1,0.0,0.0
